
2025/02/18 (13:35:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (13:35:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (16:36:06) | ===> btop++ v.1.4.0
2025/02/18 (16:36:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (16:36:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/24 (12:37:56) | ===> btop++ v.1.4.0
2025/02/24 (12:37:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/24 (12:37:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/26 (11:22:08) | ===> btop++ v.1.4.0
2025/02/26 (11:22:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/26 (11:22:08) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/03 (14:57:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/03 (14:57:47) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/03/03 (14:57:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/03/03 (14:57:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/03 (14:57:47) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/03/05 (12:02:33) | ===> btop++ v.1.4.0
2025/03/05 (12:02:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (12:02:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/05 (12:29:09) | ===> btop++ v.1.4.0
2025/03/05 (12:29:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (12:29:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/05 (16:19:12) | ===> btop++ v.1.4.0
2025/03/05 (16:19:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (16:19:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (12:38:17) | ===> btop++ v.1.4.0
